POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date
1,Chris Gayle,175,30,13,17,PWI,M. Chinnaswamy Stadium,23 April 2013
2,Yusuf Pathan,100,37,9,8,MI,Brabourne Stadium,13 March 2010
3,Quinton de Kock,105,37,8,7,Gujarat Titans,MA Chidambaram Stadium,13 May 2025
4,David Miller,101,38,8,7,RCB,IS Bindra Stadium,06 May 2013
5,Adam Gilchrist,109,42,9,10,MI,DY Patil Stadium,27 April 2008
6,David Warner,126,43,10,8,KKR,Rajiv Gandhi Intl. Cricket Stadium,30 April 2017
7,AB de Villiers,129,43,10,12,GL,M. Chinnaswamy Stadium,14 May 2016
8,Sanath Jayasuriya,114,45,9,11,CSK,Wankhede Stadium,14 May 2008
9,Rohit Sharma,100,45,12,6,Kolkata Knight Riders,Sawai Mansingh Stadium,08 May 2023
10,Mayank Agarwal,106,45,10,7,RR,Sharjah Cricket Stadium,27 September 2020
11,Chris Gayle,107,46,10,9,PBKS,M. Chinnaswamy Stadium,06 May 2011
12,Chris Gayle,117,46,7,12,PBKS,M. Chinnaswamy Stadium,06 May 2015
13,Murali Vijay,127,46,8,11,RR,Chidambaram,03 April 2010
14,Hardik Pandya,103,46,6,4,Mumbai Indians,Rajiv Gandhi International Stadium,26 May 2024
15,Virat Kohli,113,47,12,8,PBKS,M. Chinnaswamy Stadium,18 May 2016
16,AB de Villiers,133,47,19,4,MI,Wankhede Stadium,10 May 2015
17,Andrew Symonds,117,47,11,7,RR,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008
18,Virender Sehwag,119,48,13,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011
19,Quinton de Kock,108,48,15,3,RCB,M. Chinnaswamy Stadium,17 April 2016
20,Wriddhiman Saha,115,49,10,8,KKR,M. Chinnaswamy Stadium,01 June 2014
21,Rajat Patidar,112,49,12,7,LSG,Eden Gardens,25 May 2022
22,Travis Head,106,49,11,7,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,26 May 2023
23,Jos Buttler,114,49,10,6,Sunrisers Hyderabad,MA Chidambaram Stadium,07 May 2026
24,Virender Sehwag,122,50,12,8,CSK,Wankhede Stadium,30 May 2014
25,Michael Hussey,116,50,8,9,PBKS,IS Bindra Stadium,19 April 2008
26,Travis Head,115,51,8,6,Punjab Kings,Maharashtra Cricket Association Stadium,16 May 2024
27,Shane Watson,117,51,11,8,SRH,Wankhede Stadium,27 May 2018
28,Shane Watson,106,51,9,6,RR,Maharashtra Cricket Association's International Stadium,20 April 2018
29,Murali Vijay,113,51,15,4,DC,Chidambaram,25 May 2012
30,Devdutt Padikkal,101,51,11,6,RR,Wankhede Stadium,22 April 2021
31,David Warner,109,52,10,7,DEC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2012
32,Jonny Bairstow,114,52,12,7,RCB,Rajiv Gandhi Intl. Cricket Stadium,31 March 2019
33,Paul Valthaty,120,52,19,2,CSK,IS Bindra Stadium,13 April 2011
34,Rohit Sharma,109,52,12,5,KKR,Eden Gardens,12 May 2012
35,Virat Kohli,109,53,5,8,GL,M. Chinnaswamy Stadium,14 May 2016
36,Chris Gayle,128,53,7,13,DC,Arun Jaitley Stadium,17 May 2012
37,Adam Gilchrist,106,53,8,9,RCB,HPCA Stadium,17 May 2011
38,Brendon McCullum,158,53,10,13,RCB,M. Chinnaswamy Stadium,18 April 2008
39,Steve Smith,101,53,8,5,GL,Maharashtra Cricket Association's International Stadium,29 April 2016
40,Suresh Raina,100,53,7,6,PBKS,Chidambaram,02 May 2013
41,Sanju Samson,119,54,12,7,PBKS,Wankhede Stadium,12 April 2021
42,David Warner,100,54,5,5,RCB,Rajiv Gandhi Intl. Cricket Stadium,31 March 2019
43,Sanju Samson,102,54,10,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,29 March 2019
44,Glenn Maxwell,109,55,8,4,Chennai Super Kings,M.Chinnaswamy Stadium,04 May 2025
45,Chris Gayle,102,55,10,7,KKR,Eden Gardens,22 April 2011
46,Mahela Jayawardena,110,55,14,3,KKR,Eden Gardens,04 April 2010
47,K L Rahul,107,55,10,9,Mumbai Indians,Wankhede Stadium,08 May 2026
48,Brendon McCullum,100,56,7,9,SRH,Chidambaram,11 April 2015
49,Rishabh Pant,128,56,15,7,SRH,Arun Jaitley Stadium,10 May 2018
50,K L Rahul,103,56,9,5,MI,Brabourne - CCI,16 April 2022
51,Jos Buttler,124,56,11,8,SRH,Arun Jaitley Stadium,02 May 2021
52,Virat Kohli,108,56,8,7,RPS,M. Chinnaswamy Stadium,07 May 2016
53,Jos Buttler,116,57,9,9,DC,Wankhede Stadium,22 April 2022
54,Shikhar Dhawan,106,57,12,3,PBKS,Dubai International Stadium,20 October 2020
55,Shikhar Dhawan,101,57,14,1,CSK,Sharjah Cricket Stadium,17 October 2020
56,Virat Kohli,100,57,9,4,KKR,Eden Gardens,19 April 2019
57,Shane Watson,104,57,9,5,KKR,Brabourne Stadium,16 May 2015
58,Ajinkya Rahane,105,58,11,3,DC,Sawai Mansingh Stadium,22 April 2019
59,Ajinkya Rahane,103,58,12,5,RCB,M. Chinnaswamy Stadium,15 April 2012
60,Shaun Marsh,115,58,11,7,RR,IS Bindra Stadium,28 May 2008
61,Chris Gayle,104,58,1,11,SRH,IS Bindra Stadium,19 April 2018
62,Hashim Amla,104,58,8,6,MI,Holkar Cricket Stadium,20 April 2017
63,Ben Stokes,107,59,14,3,MI,Zayed Cricket Stadium,25 October 2020
64,Hashim Amla,104,59,8,5,GL,IS Bindra Stadium,07 May 2017
65,Jos Buttler,103,59,9,5,KKR,Brabourne - CCI,18 April 2022
66,Jos Buttler,106,59,10,6,RCB,Narendra Modi Stadium,27 May 2022
67,Quinton De Kock,140,59,10,10,KKR,DY Patil Stadium,18 May 2022
68,Shane Watson,101,60,6,6,CSK,Chidambaram,22 April 2013
69,Ruturaj Gaikwad,101,60,9,5,RR,Zayed Cricket Stadium,02 October 2021
70,K L Rahul,103,61,12,4,MI,Wankhede Stadium,24 April 2022
71,Lendl Simmons,100,61,14,2,PBKS,IS Bindra Stadium,21 May 2014
72,Ben Stokes,103,61,7,6,GL,Maharashtra Cricket Association's International Stadium,01 May 2017
73,Sanju Samson,102,62,8,5,RPS,Maharashtra Cricket Association's International Stadium,11 April 2017
74,KL Rahul,132,62,14,7,RCB,Dubai International Stadium,24 September 2020
75,Ambati Rayudu,100,62,7,7,SRH,Maharashtra Cricket Association's International Stadium,13 May 2018
76,Virat Kohli,100,63,11,1,GL,Saurashtra Cricket Association Stadium,24 April 2016
77,KL Rahul,100,63,6,6,MI,Wankhede Stadium,10 April 2019
78,Kevin Pietersen,103,64,6,9,DEC,Arun Jaitley Stadium,19 April 2012
79,David Warner,107,66,9,5,KKR,Arun Jaitley Stadium,29 March 2010
80,Sachin Tendulkar,100,66,12,3,KTK,Wankhede Stadium,15 April 2011
81,Jos Buttler,100,66,11,5,MI,DY Patil Stadium,02 April 2022
82,Manish Pandey,114,67,10,4,DEC,Supersport Park,21 May 2009
