POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date
1,K L Rahul,54,12,6,3,Chennai Super Kings,Maharashtra Cricket Association Stadium,14 May 2024
2,Rishabh Pant,64,12,6,3,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,08 May 2025
3,Sunil Narine,56,13,4,2,Rajasthan Royals,M.Chinnaswamy Stadium,27 May 2025
4,Pat Cummins,56,14,4,6,MI,Maharashtra Cricket Association Stadium,06 April 2022
5,Travis Head,67,14,4,5,Rajasthan Royals,Wankhede Stadium,06 May 2025
6,KL Rahul,51,14,6,4,DC,IS Bindra Stadium,08 April 2018
7,Yusuf Pathan,72,15,5,7,SRH,Eden Gardens,24 May 2014
8,Sunil Narine,54,15,6,4,RCB,M. Chinnaswamy Stadium,07 May 2017
9,Sai Sudharsan,65,15,6,2,Gujarat Titans,Wankhede Stadium,13 May 2024
10,Phil Salt,61,15,5,6,Gujarat Titans,Sawai Mansingh Stadium,28 May 2023
11,Suryakumar Yadav,65,16,6,3,Lucknow Super Giants,MA Chidambaram Stadium,01 May 2026
12,Ishan Kishan,84,16,11,4,SRH,Zayed Cricket Stadium,08 October 2021
13,Suresh Raina,87,16,12,6,PBKS,Wankhede Stadium,30 May 2014
14,Abhishek Sharma,64,16,6,6,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,10 May 2026
15,Ishan Kishan,62,17,5,6,KKR,Eden Gardens,09 May 2018
16,Adam Gilchrist,85,17,10,5,DC,Supersport Park,22 May 2009
17,Kieron Pollard,87,17,6,8,CSK,Arun Jaitley Stadium,01 May 2021
18,Chris Gayle,175,17,13,17,PWI,M. Chinnaswamy Stadium,23 April 2013
19,Chris Morris,82,17,4,8,GL,Arun Jaitley Stadium,27 April 2016
20,Nicholas Pooran,77,17,5,7,SRH,Dubai International Stadium,08 October 2020
21,Kieron Pollard,51,17,2,6,KKR,Wankhede Stadium,28 April 2016
22,Sunil Narine,50,17,4,5,RCB,Eden Gardens,08 April 2018
23,Hardik Pandya,91,17,6,9,KKR,Eden Gardens,28 April 2019
24,Rishabh Pant,78,18,7,7,MI,Wankhede Stadium,24 March 2019
25,Jos Buttler,67,18,4,7,DC,Arun Jaitley Stadium,02 May 2018
26,Prithvi Shaw,82,18,11,3,KKR,Narendra Modi Stadium,29 April 2021
27,KL Rahul,71,19,7,5,CSK,IS Bindra Stadium,05 May 2019
28,Yashasvi Jaiswal,50,19,6,3,CSK,Zayed Cricket Stadium,02 October 2021
29,Harbhajan Singh,64,19,5,6,PBKS,Wankhede Stadium,12 April 2015
30,Owais Shah,60,19,5,5,RCB,M. Chinnaswamy Stadium,15 April 2012
31,Moeen Ali,93,19,13,3,RR,Brabourne - CCI,20 May 2022
32,Andre Russell,51,19,5,4,PBKS,Eden Gardens,09 May 2015
33,Sanju Samson,74,19,1,9,CSK,Sharjah Cricket Stadium,22 September 2020
34,Chris Lynn,93,19,6,8,GL,Saurashtra Cricket Association Stadium,07 April 2017
35,Robin Uthappa,51,19,4,4,PBKS,M. Chinnaswamy Stadium,16 March 2010
36,Marcus Stoinis,60,19,7,6,Kolkata Knight Riders,Rajiv Gandhi International Stadium,27 May 2024
37,David Miller,51,19,0,6,RR,Sharjah Cricket Stadium,20 April 2014
38,Ambati Rayudu,72,20,4,7,MI,Arun Jaitley Stadium,01 May 2021
39,Moises Henriques,57,20,5,4,RCB,Rajiv Gandhi Intl. Cricket Stadium,15 May 2015
40,MS Dhoni,51,20,6,2,MI,M. Chinnaswamy Stadium,23 May 2012
41,Kieron Pollard,60,20,3,5,RCB,Dubai International Stadium,28 September 2020
42,Phil Salt,57,20,3,5,Gujarat Titans,Wankhede Stadium,03 May 2026
43,David Warner,126,20,10,8,KKR,Rajiv Gandhi Intl. Cricket Stadium,30 April 2017
44,Kieron Pollard,66,20,2,8,SRH,Wankhede Stadium,13 May 2013
45,Marcus Stoinis,53,20,7,3,PBKS,Dubai International Stadium,20 September 2020
46,Hardik Pandya,60,20,2,7,RR,Zayed Cricket Stadium,25 October 2020
47,Deepak Hooda,64,20,4,6,RR,Wankhede Stadium,12 April 2021
48,Heinrich Klaasen,51,20,5,3,Sunrisers Hyderabad,Eden Gardens,15 May 2023
49,Virender Sehwag,73,20,12,1,RR,Sawai Mansingh Stadium,01 May 2012
50,David Warner,61,20,11,1,CSK,Rajiv Gandhi Intl. Cricket Stadium,02 May 2015
51,Andre Russell,54,21,3,6,CSK,Wankhede Stadium,21 April 2021
52,Rahul Tripathi,71,21,4,6,KKR,Brabourne - CCI,15 April 2022
53,Shane Watson,60,21,5,5,CSK,Chidambaram,03 April 2010
54,Virender Sehwag,75,21,8,5,RR,Narendra Modi Stadium,15 March 2010
55,Yusuf Pathan,61,21,4,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008
56,Yusuf Pathan,100,21,9,8,MI,Brabourne Stadium,13 March 2010
57,Jonny Bairstow,66,21,4,7,RCB,Brabourne - CCI,13 May 2022
58,Brendon McCullum,81,21,11,3,CSK,Supersport Park,18 May 2009
59,AB de Villiers,59,21,3,5,RR,Sawai Mansingh Stadium,23 April 2012
60,Dwayne Smith,68,21,6,5,CSK,Arun Jaitley Stadium,21 May 2013
61,Liam Livingstone,64,21,7,4,GT,Brabourne - CCI,08 April 2022
62,Andre Russell,65,21,2,9,RCB,Eden Gardens,19 April 2019
63,Sam Billings,56,21,2,5,KKR,Chidambaram,10 April 2018
64,Kieron Pollard,64,21,4,5,CSK,Wankhede Stadium,17 April 2015
65,Virender Sehwag,122,21,12,8,CSK,Wankhede Stadium,30 May 2014
66,Glenn Maxwell,95,21,5,9,SRH,Sharjah Cricket Stadium,22 April 2014
67,Chris Lynn,50,21,5,4,RCB,M. Chinnaswamy Stadium,07 May 2017
68,David Warner,58,21,4,5,RCB,M. Chinnaswamy Stadium,12 April 2016
69,Travis Head,70,21,7,3,Mumbai Indians,Wankhede Stadium,19 May 2024
70,Dinesh Karthik,65,22,4,5,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,14 May 2026
71,Ross Taylor,55,22,7,2,RCB,Arun Jaitley Stadium,17 May 2012
72,Matthew Hayden,57,22,5,3,DC,Kingsmead,23 April 2009
73,Dwayne Smith,62,22,8,4,MI,Wankhede Stadium,17 April 2015
74,Chris Gayle,117,22,7,12,PBKS,M. Chinnaswamy Stadium,06 May 2015
75,KL Rahul,66,22,2,7,KKR,Holkar Cricket Stadium,12 May 2018
76,Robin Uthappa,50,22,4,4,KKR,M. Chinnaswamy Stadium,10 April 2010
77,Virender Sehwag,74,22,10,3,CSK,Arun Jaitley Stadium,19 March 2010
78,Matthew Hayden,65,22,9,2,RCB,St George's Park,20 April 2009
79,Dinesh Karthik,50,22,5,3,PBKS,Holkar Cricket Stadium,12 May 2018
80,Kieron Pollard,50,22,5,3,PBKS,Wankhede Stadium,16 May 2018
81,MS Dhoni,51,22,2,5,DC,Maharashtra Cricket Association's International Stadium,30 April 2018
82,Kieron Pollard,83,22,3,10,PBKS,Wankhede Stadium,10 April 2019
83,Chris Gayle,63,22,7,4,CSK,IS Bindra Stadium,15 April 2018
84,Faf du Plessis,52,22,7,1,PBKS,Barabati Stadium,07 May 2014
85,Dinesh Karthik,58,22,8,2,PBKS,Zayed Cricket Stadium,10 October 2020
86,AB de Villiers,55,22,1,6,RR,Dubai International Stadium,17 October 2020
87,Aaron Finch,72,22,5,6,RCB,M. Chinnaswamy Stadium,27 April 2017
88,Krunal Pandya,86,22,7,6,DC,ACA-VDCA Stadium,15 May 2016
89,Wriddhiman Saha,54,22,8,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,14 May 2014
90,Glenn Maxwell,90,22,6,8,CSK,Barabati Stadium,07 May 2014
91,Quinton de Kock,108,22,15,3,RCB,M. Chinnaswamy Stadium,17 April 2016
92,Deepak Hooda,54,22,3,4,DC,Arun Jaitley Stadium,12 April 2015
93,Ruturaj Gaikwad,60,22,8,4,Lucknow Super Giants,Punjab Cricket Association IS Bindra Stadium,25 May 2023
94,AB de Villiers,55,23,4,4,MI,Dubai International Stadium,28 September 2020
95,Rahul Tripathi,93,23,9,7,KKR,Eden Gardens,03 May 2017
96,Rishabh Pant,70,23,6,3,Punjab Kings,M.Chinnaswamy Stadium,20 May 2026
97,Sachin Tendulkar,63,23,11,0,DC,Arun Jaitley Stadium,17 March 2010
98,Yusuf Pathan,73,23,2,8,DEC,Narendra Modi Stadium,26 March 2010
99,AB de Villiers,50,23,6,2,PWI,Maharashtra Cricket Association's International Stadium,02 May 2013
100,Rishabh Pant,69,23,7,5,RR,Arun Jaitley Stadium,02 May 2018
101,Andre Russell,62,23,4,6,DC,Arun Jaitley Stadium,30 March 2019
102,Sam Curran,55,23,7,2,KKR,IS Bindra Stadium,03 May 2019
103,Pat Cummins,66,23,4,6,CSK,Wankhede Stadium,21 April 2021
104,David Miller,66,23,8,3,RCB,M. Chinnaswamy Stadium,09 May 2014
105,Jos Buttler,106,23,10,6,RCB,Narendra Modi Stadium,27 May 2022
106,Jos Buttler,54,23,8,3,GT,DY Patil Stadium,14 April 2022
107,Kumar Sangakkara,94,23,13,1,MI,IS Bindra Stadium,25 April 2008
108,Chris Gayle,77,23,5,7,GL,Saurashtra Cricket Association Stadium,18 April 2017
109,Paul Valthaty,120,23,19,2,CSK,IS Bindra Stadium,13 April 2011
110,Yuvraj Singh,62,23,7,3,RCB,Rajiv Gandhi Intl. Cricket Stadium,05 April 2017
111,David Warner,59,23,7,3,PBKS,Rajiv Gandhi Intl. Cricket Stadium,23 April 2016
112,Eoin Morgan,63,23,4,5,RR,Brabourne Stadium,07 May 2015
113,AB de Villiers,73,23,5,6,KKR,Sharjah Cricket Stadium,12 October 2020
114,Rishabh Pant,74,23,3,2,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,18 May 2023
115,Priyam Garg,51,23,6,1,CSK,Dubai International Stadium,02 October 2020
116,AB de Villiers,68,23,2,8,CSK,M. Chinnaswamy Stadium,25 April 2018
117,AB de Villiers,89,23,6,8,SRH,M. Chinnaswamy Stadium,04 May 2014
118,Shimron Hetmyer,53,23,2,4,RCB,Narendra Modi Stadium,27 April 2021
119,Kumar Sangakkara,50,23,7,2,DEC,IS Bindra Stadium,23 May 2008
120,Virender Sehwag,51,23,2,5,PBKS,Arun Jaitley Stadium,17 May 2008
121,Evin Lewis,55,23,6,3,CSK,Brabourne - CCI,31 March 2022
122,Andrew Symonds,53,24,5,3,RCB,M. Chinnaswamy Stadium,08 April 2010
123,MS Dhoni,51,24,5,3,MI,Chidambaram,06 April 2013
124,Jos Buttler,77,24,7,5,PBKS,Holkar Cricket Stadium,20 April 2017
125,Simon Katich,50,24,3,4,CSK,Supersport Park,07 May 2009
126,Yuvraj Singh,83,24,7,7,RR,M. Chinnaswamy Stadium,11 May 2014
127,Suryakumar Yadav,82,24,13,3,SRH,Zayed Cricket Stadium,08 October 2021
128,Kevin Pietersen,62,24,10,2,RR,Sawai Mansingh Stadium,14 April 2010
129,Yuvraj Singh,68,24,1,9,DC,M. Chinnaswamy Stadium,13 May 2014
130,Adam Gilchrist,64,24,5,5,DC,Kingsmead,13 May 2009
131,Kieron Pollard,50,24,1,5,PBKS,Wankhede Stadium,11 May 2017
132,Robin Uthappa,59,24,5,4,DC,Eden Gardens,28 April 2017
133,Virender Sehwag,71,24,7,4,CSK,Chidambaram,02 May 2008
134,Ross Taylor,81,24,7,5,KKR,Supersport Park,12 May 2009
135,JP Duminy,58,24,3,5,RR,Sawai Mansingh Stadium,17 April 2012
136,Chris Gayle,57,24,3,6,PWI,Maharashtra Cricket Association's International Stadium,11 May 2012
137,KL Rahul,60,24,9,2,KKR,Eden Gardens,21 April 2018
138,David Warner,50,24,10,0,CSK,Rajiv Gandhi Intl. Cricket Stadium,17 April 2019
139,Moeen Ali,66,24,5,6,KKR,Eden Gardens,19 April 2019
140,AB de Villiers,90,24,10,5,DC,M. Chinnaswamy Stadium,21 April 2018
141,MS Dhoni,65,24,9,3,RCB,M. Chinnaswamy Stadium,28 April 2008
142,David Hussey,57,24,4,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008
143,James Hopes,71,24,10,3,CSK,IS Bindra Stadium,19 April 2008
144,David Warner,57,24,6,4,RCB,M. Chinnaswamy Stadium,13 April 2015
145,MS Dhoni,56,24,7,2,PBKS,Supersport Park,07 May 2009
146,Suresh Raina,78,24,11,3,KKR,Chidambaram,13 April 2010
147,Suresh Raina,57,24,3,3,MI,DY Patil Stadium,25 April 2010
148,Matthew Hayden,93,24,9,7,DC,Arun Jaitley Stadium,19 March 2010
149,David Miller,101,24,8,7,RCB,IS Bindra Stadium,06 May 2013
150,David Warner,51,24,4,4,PWI,Shaheed Veer Narayan Singh International Cricket Stadium,28 April 2013
151,Kedar Jadhav,63,24,8,2,SRH,Shaheed Veer Narayan Singh International Cricket Stadium,09 May 2015
152,Nicholas Pooran,66,24,6,2,Delhi Capitals,Sawai Mansingh Stadium,26 May 2025
153,Jesse Ryder,60,24,5,5,DC,DY Patil Stadium,17 April 2011
154,Sunil Narine,64,24,6,4,DC,Zayed Cricket Stadium,24 October 2020
155,Ben Stokes,50,24,6,3,PBKS,Zayed Cricket Stadium,30 October 2020
156,Marcus Stoinis,53,24,6,2,RCB,Dubai International Stadium,05 October 2020
157,Dinesh Karthik,69,24,7,5,KTK,Holkar Cricket Stadium,13 May 2011
158,Sunny Sohal,56,24,6,4,CSK,Chidambaram,01 May 2011
159,Robin Uthappa,53,24,9,0,PBKS,IS Bindra Stadium,19 April 2016
160,Sanju Samson,61,24,0,7,GL,Arun Jaitley Stadium,04 May 2017
161,David Warner,69,24,8,3,RCB,M. Chinnaswamy Stadium,29 May 2016
162,Shane Watson,70,25,6,6,CSK,Sawai Mansingh Stadium,12 May 2013
163,Irfan Pathan,60,25,3,5,DEC,Barabati Stadium,19 March 2010
164,David Warner,57,25,4,4,DEC,Barabati Stadium,21 March 2010
165,Glenn Maxwell,95,25,15,2,CSK,Zayed Cricket Stadium,18 April 2014
166,AB de Villiers,55,25,9,1,DC,M. Chinnaswamy Stadium,17 April 2016
167,Robin Uthappa,50,25,8,1,LSG,Brabourne - CCI,31 March 2022
168,David Warner,51,25,4,4,PBKS,IS Bindra Stadium,28 April 2017
169,Mayank Agarwal,69,25,7,4,DC,Wankhede Stadium,18 April 2021
170,KL Rahul,98,25,7,8,CSK,Dubai International Stadium,07 October 2021
171,David Warner,90,25,12,3,CSK,JSCA Stadium,22 May 2014
172,AB de Villiers,53,25,1,5,PBKS,M. Chinnaswamy Stadium,09 May 2014
173,Ishan Kishan,50,25,5,3,RR,Sharjah Cricket Stadium,05 October 2021
174,Venkatesh Iyer,53,25,4,3,MI,Zayed Cricket Stadium,23 September 2021
175,Ravindra Jadeja,62,25,4,5,RCB,Wankhede Stadium,25 April 2021
176,Corey Anderson,95,25,9,6,RR,Wankhede Stadium,25 May 2014
177,Aaron Finch,58,25,9,2,RR,Brabourne - CCI,18 April 2022
178,Sanju Samson,55,25,3,5,SRH,Maharashtra Cricket Association Stadium,29 March 2022
179,Moeen Ali,65,25,2,6,SRH,M. Chinnaswamy Stadium,17 May 2018
180,Dwayne Bravo,68,25,3,7,MI,Wankhede Stadium,07 April 2018
181,Karun Nair,54,25,3,5,CSK,Maharashtra Cricket Association's International Stadium,20 May 2018
182,Prithvi Shaw,65,25,6,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,05 May 2018
183,Hardik Pandya,61,25,8,2,KKR,Wankhede Stadium,14 May 2015
184,Kevin Pietersen,50,25,6,3,MI,Arun Jaitley Stadium,27 April 2012
185,Rahul Dravid,75,25,6,6,RR,Sawai Mansingh Stadium,17 May 2008
186,Andre Russell,55,25,4,4,CSK,Eden Gardens,30 April 2015
187,David Warner,79,25,10,4,PBKS,HPCA Stadium,19 May 2012
188,Sanath Jayasuriya,114,25,9,11,CSK,Wankhede Stadium,14 May 2008
189,Rohit Sharma,50,25,6,2,CSK,Eden Gardens,24 May 2015
190,Shane Watson,78,25,4,7,DC,Maharashtra Cricket Association's International Stadium,30 April 2018
191,Manish Pandey,83,25,7,3,CSK,Chidambaram,23 April 2019
192,Robin Uthappa,53,25,4,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,30 April 2017
193,David Warner,66,25,8,2,DC,Dubai International Stadium,27 October 2020
194,Quinton de Kock,78,25,9,3,KKR,Zayed Cricket Stadium,16 October 2020
195,Chris Gayle,51,25,2,5,KKR,Sharjah Cricket Stadium,26 October 2020
196,Chris Gayle,69,25,6,5,DC,Arun Jaitley Stadium,20 April 2019
197,Chris Gayle,76,25,4,8,SRH,M. Chinnaswamy Stadium,29 May 2016
198,AB de Villiers,83,25,6,4,RPS,Maharashtra Cricket Association's International Stadium,22 April 2016
199,Rishabh Pant,69,25,9,2,GL,Saurashtra Cricket Association Stadium,03 May 2016
