POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Virat Kohli,288,276,35,9803,120,40.68,7118,137.72,13,65,865,405
2,Rohit Sharma,288,282,32,7341,125,29.36,5591,131.3,2,51,678,327
3,MS Dhoni,296,265,87,6477,96*,36.39,4758,136.13,0,34,484,329
4,Shikhar Dhawan,211,209,27,6284,106*,34.53,4987,126.01,2,47,704,136
5,Dinesh Karthik,277,256,46,5837,119*,27.8,4282,136.31,1,32,580,228
6,Jos Buttler,146,142,17,5761,124,46.09,3688,156.21,13,41,587,327
7,David Warner,155,155,22,5718,126,42.99,4048,141.25,4,54,561,211
8,Suresh Raina,205,200,30,5528,100*,32.52,4042,136.76,1,39,506,203
9,Sanju Samson,201,195,26,5184,122*,30.67,3731,138.94,5,26,428,249
10,Chris Gayle,142,141,16,4965,175*,39.72,3333,148.96,6,31,405,357
11,Robin Uthappa,205,197,17,4952,88,27.51,3799,130.35,0,27,481,182
12,AB de Villiers,169,157,36,4697,133*,38.82,3048,154.1,2,37,374,239
13,Shubman Gill,136,131,17,4620,123*,40.53,3187,144.96,15,33,445,223
14,Rishabh Pant,164,159,30,4596,128*,35.63,3213,143.04,1,23,444,221
15,Faf du Plessis,160,149,22,4551,112,35.83,3441,132.26,0,31,425,177
16,Shreyas Iyer,166,164,21,4363,125*,30.51,3327,131.14,2,30,407,185
17,Suryakumar Yadav,186,165,27,4328,123,31.36,3079,140.57,0,23,445,181
18,Ambati Rayudu,188,175,31,4190,100*,29.1,3296,127.12,1,22,349,164
19,Ajinkya Rahane,158,148,16,4074,105*,30.86,3376,120.68,2,28,431,80
20,Gautam Gambhir,139,137,15,3931,93,32.22,3126,125.75,0,35,459,57
21,Quinton de Kock,139,135,19,3901,124,33.63,2927,133.28,2,29,382,171
22,Shane Watson,145,141,16,3874,117*,30.99,2809,137.91,4,21,376,190
23,Glenn Maxwell,171,163,25,3754,104,27.2,2522,148.85,0,22,337,209
24,Manish Pandey,160,149,27,3648,114*,29.9,3002,121.52,1,21,318,105
25,Hardik Pandya,170,159,39,3534,124,29.45,2426,145.67,1,17,298,196
26,Kieron Pollard,189,171,52,3412,87*,28.67,2316,147.32,0,16,218,223
27,KL Rahul,94,85,16,3273,132*,47.43,2400,136.38,2,27,282,134
28,Yusuf Pathan,174,154,44,3204,100,29.13,2241,142.97,1,13,262,158
29,Travis Head,72,68,13,3034,99,55.16,1850,164.0,12,30,295,204
30,Marcus Stoinis,130,119,23,2935,115*,30.57,2100,139.76,1,17,271,166
31,Ruturaj Gaikwad,99,93,14,2881,114*,36.47,2092,137.72,3,17,258,154
32,Brendon McCullum,109,109,5,2880,158*,27.69,2186,131.75,2,13,293,130
33,Parthiv Patel,139,137,11,2848,81,22.6,2358,120.78,0,13,365,49
34,Yuvraj Singh,132,126,15,2750,83,24.77,2120,129.72,0,13,217,149
35,Sunil Narine,213,144,26,2653,125,22.48,1822,145.61,0,15,268,153
36,Murali Vijay,106,106,5,2619,127,25.93,2149,121.87,2,13,247,91
37,Nicholas Pooran,106,98,14,2553,112*,30.39,1792,142.47,0,17,203,152
38,Virender Sehwag,93,93,4,2530,122,28.43,1617,156.46,2,15,310,99
39,K L Rahul,75,69,15,2502,112,46.33,1811,138.16,3,14,237,130
40,Ravindra Jadeja,210,161,67,2502,62*,26.62,1961,127.59,0,2,182,90
41,Steve Smith,103,93,21,2485,101,34.51,1940,128.09,1,11,225,60
42,Shaun Marsh,71,69,7,2477,115,39.95,1866,132.74,1,20,266,78
43,David Miller,104,101,35,2455,101*,37.2,1783,137.69,1,12,169,113
44,Jacques Kallis,98,96,11,2427,89*,28.55,2222,109.23,0,17,255,44
45,Wriddhiman Saha,144,119,23,2427,115*,25.28,1898,127.87,1,11,231,76
46,Dwayne Smith,91,89,5,2385,87*,28.39,1764,135.2,0,17,245,117
47,Sachin Tendulkar,78,78,11,2334,100*,34.84,1948,119.82,1,13,295,29
48,Mayank Agarwal,113,107,4,2327,106,22.59,1733,134.28,1,12,226,91
49,Shivam Dube,98,89,17,2226,125,30.92,1591,139.91,2,14,192,133
