POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,Yuzvendra Chahal,191,189,678.1,5560,282,40/5,19.72,8.2,14.43,8,4
2,Jasprit Bumrah,187,185,693.1,5008,251,10/5,19.95,7.22,16.57,7,2
3,Piyush Chawla,229,225,770.0,6078,213,5/22,28.54,7.89,21.69,3,2
4,Sunil Narine,212,210,797.5,5329,211,21/2,25.26,6.68,22.69,9,1
5,Bhuvneshwar Kumar,209,206,760.5,5585,207,22/3,26.98,7.34,22.05,6,2
6,Rashid Khan,153,151,567.4,3955,204,24/4,19.39,6.97,16.7,5,1
7,Harshal Patel,140,136,481.3,3625,203,34/4,17.86,7.53,14.23,4,2
8,Ravindra Jadeja,272,240,739.1,5723,190,39/3,30.12,7.74,23.34,7,2
9,Dwayne Bravo,160,158,520.0,4359,183,20/3,23.82,8.38,17.05,2,0
10,Lasith Malinga,122,122,471.1,3366,170,5/13,19.8,7.14,16.63,6,1
11,Amit Mishra,154,154,540.5,3980,166,5/17,23.98,7.36,19.55,4,1
12,Mohit Sharma,150,149,518.0,4417,166,5/12,26.61,8.53,18.72,4,0
13,Kagiso Rabada,120,120,431.2,3591,161,33/4,22.3,8.33,16.07,11,0
14,Ravichandran Ashwin,184,181,650.0,4535,157,17/3,28.89,6.98,24.84,1,0
15,Axar Patel,184,182,659.1,4863,152,10/2,31.99,7.38,26.02,4,1
16,Harbhajan Singh,163,160,569.2,4030,150,5/18,26.87,7.08,22.77,1,1
17,Trent Boult,139,137,516.2,4192,143,18/2,29.31,8.12,21.66,3,0
18,Umesh Yadav,133,132,468.2,3918,135,23/4,29.02,8.37,20.81,3,0
19,Kuldeep Yadav,119,113,410.2,3231,116,14/4,27.85,7.87,21.22,7,0
20,Sandeep Sharma,104,104,386.2,3002,114,18/1,26.33,7.77,20.33,2,0
21,Avesh Khan,100,99,355.1,2821,112,24/4,25.19,7.94,19.03,7,2
22,Mohammed Shami,64,63,217.4,1665,111,5/17,15.0,7.65,11.77,4,0
23,Arshdeep Singh,100,98,344.5,2849,109,37/3,26.14,8.26,18.98,6,1
24,Vinay Kumar,105,104,353.3,2966,105,4/40,28.25,8.39,20.2,1,0
25,Zaheer Khan,100,99,366.4,2782,102,4/17,27.27,7.59,21.57,1,0
26,Mitchell Starc,88,86,297.0,2283,100,5/13,22.83,7.69,17.82,6,2
27,Mohammad Shami,93,93,339.2,2890,99,25/3,29.19,8.52,20.57,0,0
28,Dale Steyn,95,95,362.4,2508,97,3/8,25.86,6.92,22.43,0,0
29,Ravi Bishnoi,100,97,360.3,2754,97,22/2,28.39,7.64,22.3,3,2
30,Chris Morris,81,81,286.4,2295,95,4/23,24.16,8.01,18.11,4,0
31,T Natarajan,98,95,342.1,2784,94,10/3,29.62,8.14,21.84,5,3
32,Shane Watson,117,105,338.1,2682,92,4/29,29.15,7.93,22.05,1,0
33,Jaydev Unadkat,91,90,316.0,2778,91,32/2,30.53,8.79,20.84,0,2
34,Praveen Kumar,119,119,420.4,3251,90,3/18,36.12,7.73,28.04,0,0
35,RP Singh,82,82,295.5,2338,90,4/22,25.98,7.9,19.72,2,0
36,Andre Russell,98,89,238.2,2179,89,5/4,24.48,9.14,16.07,2,1
37,Ashish Nehra,75,75,267.0,2149,87,4/10,24.7,8.05,18.41,1,0
38,Dhawal Kulkarni,92,92,297.5,2474,86,4/14,28.77,8.31,20.78,1,0
39,Pragyan Ojha,80,78,270.3,1952,85,3/11,22.96,7.22,19.09,0,0
40,Albie Morkel,91,87,287.1,2355,85,4/32,27.71,8.2,20.27,1,0
41,Ishant Sharma,104,104,376.5,3000,84,5/12,35.71,7.96,26.92,0,1
42,Imran Tahir,59,59,219.2,1703,82,4/12,20.77,7.76,16.05,3,0
43,Shardul Thakur,75,74,258.2,2340,82,36/4,28.54,9.06,18.9,1,0
44,Wanindu Hasaranga,78,77,274.4,1972,81,18/5,24.35,7.18,20.35,5,3
45,Irfan Pathan,103,101,340.3,2649,80,3/24,33.11,7.78,25.54,0,0
46,Morne Morkel,70,70,271.3,2089,77,4/20,27.13,7.69,21.16,1,0
47,Lakshmipathy Balaji,73,73,251.5,2028,76,5/24,26.68,8.05,19.88,3,1
48,Munaf Patel,63,63,225.5,1698,74,5/21,22.95,7.52,18.31,2,1
49,Mitchell McClenaghan,56,56,212.2,1803,71,4/21,25.39,8.49,17.94,1,0
50,Varun Chakravarthy,62,61,220.1,1727,70,5/12,24.67,7.84,18.87,3,0
51,Kieron Pollard,164,107,248.0,2180,69,8/2,31.59,8.79,21.57,1,0
52,Ashok Dinda,78,75,251.4,2071,68,4/18,30.46,8.23,22.21,1,0
53,Jacques Kallis,98,89,290.2,2293,65,3/13,35.28,7.9,26.8,0,0
54,Siddharth Trivedi,76,75,251.0,1904,65,4/25,29.29,7.59,23.17,1,0
55,Shakib Al Hasan,71,70,247.2,1839,63,3/17,29.19,7.44,23.56,0,0
56,Muttiah Muralitharan,66,66,254.0,1696,63,3/11,26.92,6.68,24.19,0,0
57,Mitchell Johnson,54,54,205.2,1702,61,3/26,27.9,8.29,20.2,0,0
58,Rajat Bhatia,87,84,251.0,1874,61,3/22,30.72,7.47,24.69,0,0
59,Krunal Pandya,98,93,278.4,2038,61,19/3,33.41,7.31,27.41,0,0
60,Mohammed Siraj,65,65,222.2,1951,59,30/2,33.07,8.78,22.61,1,0
61,Deepak Chahar,63,63,220.4,1722,59,4/13,29.19,7.8,22.44,2,0
62,Karn Sharma,67,66,203.4,1610,59,4/16,27.29,7.91,20.71,2,0
63,James Faulkner,60,60,204.3,1778,59,5/16,30.14,8.69,20.8,0,2
64,Siddarth Kaul,54,54,197.3,1696,58,4/29,29.24,8.59,20.43,1,0
65,Rahul Chahar,55,54,196.4,1477,57,25/3,25.91,7.51,20.7,1,0
66,Shane Warne,55,54,199.0,1447,57,4/21,25.39,7.27,20.95,1,0
67,Hardik Pandya,81,70,175.2,1535,50,17/3,30.7,8.75,21.04,0,0
68,Shreyas Gopal,49,48,158.1,1282,49,34/1,26.16,8.11,19.37,1,0
69,Prasidh Krishna,51,51,190.5,1703,49,22/3,34.76,8.92,23.37,1,0
70,Jason Holder,38,38,137.2,1177,49,31/3,24.02,8.57,16.82,1,0
71,Shahbaz Nadeem,72,70,235.5,1784,48,3/16,37.17,7.56,29.48,0,0
72,Nathan Coulter-Nile,38,37,139.5,1052,48,4/14,21.92,7.52,17.48,2,0
73,Khaleel Ahmed,34,34,129.4,1101,48,25/3,22.94,8.49,16.21,0,0
74,Shadab Jakati,59,57,180.5,1450,47,4/22,30.85,8.02,23.09,2,0
75,Mustafizur Rahman,46,46,175.0,1365,46,18/3,29.67,7.8,22.83,0,0
76,Jofra Archer,35,35,137.3,981,46,3/15,21.33,7.13,17.93,0,0
77,Anil Kumble,42,42,160.5,1058,45,5/5,23.51,6.58,21.44,2,1
78,Pat Cummins,42,42,158.5,1357,45,22/3,30.16,8.54,21.18,1,0
79,Tim Southee,52,52,195.0,1663,45,20/3,36.96,8.53,26.0,0,0
80,Sreenath Aravind,38,38,126.4,1039,45,4/14,23.09,8.2,16.89,2,0
81,Ryan Harris,37,37,138.4,1047,45,4/34,23.27,7.55,18.49,1,0
82,Varun Aaron,52,50,165.4,1481,44,45/2,33.66,8.94,22.59,0,0
83,Anrich Nortje,30,30,113.4,916,43,42/3,21.3,8.06,15.86,0,0
84,Varun Chakaravarthy,42,42,162.0,1171,42,22/1,27.88,7.23,23.14,0,1
85,Andrew Tye,30,30,114.0,979,42,40/2,23.31,8.59,16.29,3,1
86,Yusuf Pathan,174,82,191.1,1415,42,3/20,33.69,7.4,27.31,0,0
87,Moises Henriques,62,60,158.2,1289,42,3/12,30.69,8.14,22.62,0,0
88,Iqbal Abdulla,49,48,153.2,1109,40,3/24,27.73,7.23,23.0,0,0
89,Shanthakumaran Sreesanth,44,44,146.4,1194,40,3/29,29.85,8.14,22.0,0,0
90,Rahul Sharma,44,44,154.4,1086,40,3/13,27.15,7.02,23.2,0,0
91,Parvinder Awana,33,33,124.3,1029,39,4/34,26.38,8.27,19.15,1,0
92,Dan Christian,49,49,147.1,1192,38,2/10,31.37,8.1,23.24,0,0
93,Doug Bollinger,27,27,96.0,693,37,4/13,18.73,7.22,15.57,1,0
94,Manpreet Gony,44,44,148.0,1287,37,3/31,34.78,8.7,24.0,0,0
95,Lockie Ferguson,35,35,127.3,1075,36,28/4,29.86,8.43,21.25,1,0
96,Yuvraj Singh,128,73,144.5,1077,36,4/29,29.92,7.44,24.14,2,0
97,Murugan Ashwin,42,42,141.0,1109,35,14/2,31.69,7.87,24.17,0,0
98,Marcus Stoinis,67,50,109.0,1048,34,23/3,30.82,9.61,19.24,1,0
