POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Virat Kohli,17,17,0,858,120,50.47,518,165.32,2,6,84,41
2,Shubman Gill,15,15,3,827,110*,68.92,489,169.01,4,6,72,63
3,Travis Head,16,15,0,769,77*,51.27,440,174.75,2,7,88,56
4,Jos Buttler,15,13,2,741,75,67.36,450,164.57,1,8,87,56
5,Marcus Stoinis,15,15,1,545,92*,38.93,358,151.89,1,3,57,38
6,Dinesh Karthik,16,16,3,540,117*,41.54,348,154.93,0,3,56,24
7,Sunil Narine,15,13,2,539,125,49.0,420,128.03,0,3,60,27
8,Nicholas Pooran,15,14,0,535,99,38.21,407,131.2,0,3,46,35
9,Phil Salt,15,13,3,515,91*,51.5,382,134.56,0,4,49,29
10,K L Rahul,15,13,3,508,104,50.8,355,142.86,0,1,50,34
11,Hardik Pandya,16,15,1,481,108,34.36,310,154.94,1,3,52,23
12,Abhishek Sharma,15,15,2,465,99*,35.77,318,146.05,0,3,48,33
13,Shivam Dube,15,13,4,463,86,51.44,321,143.86,1,4,53,33
14,Quinton de Kock,15,13,3,453,115*,45.3,338,133.79,0,3,45,23
15,Suryakumar Yadav,17,15,3,451,123,37.58,297,151.67,0,2,44,29
16,MS Dhoni,17,16,3,417,75,32.08,293,142.27,0,1,33,30
17,Sai Sudharsan,15,14,1,413,121,31.77,296,139.44,0,2,34,18
18,Yashasvi Jaiswal,16,15,0,411,80*,27.4,327,125.61,0,4,42,16
19,Rishabh Pant,17,17,4,400,111*,30.77,314,127.2,0,2,44,18
20,Faf du Plessis,14,13,4,389,112,43.22,285,136.11,0,1,38,23
21,Rinku Singh,16,16,1,375,105*,25.0,250,149.56,0,3,30,18
22,Sanju Samson,17,17,4,350,122*,26.92,226,154.61,1,1,30,15
23,Devon Conway,17,17,4,313,72*,24.08,221,141.26,0,4,36,24
24,Heinrich Klaasen,15,13,0,308,110*,23.69,213,144.05,0,3,33,16
25,Shreyas Iyer,17,17,2,301,125*,20.07,195,154.24,1,3,35,21
26,Rohit Sharma,16,16,2,292,125,20.86,204,142.98,0,2,32,19
27,Glenn Maxwell,15,15,1,281,104,20.07,198,141.38,0,3,33,20
28,Ruturaj Gaikwad,16,14,2,276,101*,23.0,179,153.43,1,3,30,20
