POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,Yuzvendra Chahal,17,17,53.3,521,30,4/26,17.37,7.78,10.7,2,1
2,Harshal Patel,15,15,56.0,361,28,3/35,12.89,7.62,12.0,1,0
3,Mohammed Shami,16,16,56.3,434,26,5/34,16.69,7.51,13.04,0,0
4,Jasprit Bumrah,16,15,56.3,321,25,4/22,12.84,7.65,13.56,1,0
5,Rashid Khan,16,15,51.1,398,25,4/18,15.92,7.69,12.28,2,1
6,Mohit Sharma,17,17,61.3,401,20,4/34,20.05,8.96,18.45,1,0
7,Mitchell Starc,16,15,51.1,445,20,4/29,22.25,8.43,15.35,2,0
8,Varun Chakravarthy,16,16,64.2,347,19,5/12,18.26,9.1,20.32,0,0
9,Avesh Khan,15,14,50.4,488,18,5/32,27.11,9.32,16.89,2,1
10,Trent Boult,14,14,42.2,417,16,3/30,26.06,8.88,15.88,1,0
11,Kagiso Rabada,14,14,44.3,491,16,5/29,30.69,9.05,16.69,2,0
12,T Natarajan,15,14,53.3,417,15,5/34,27.8,9.15,21.4,2,1
13,Sunil Narine,17,17,58.3,352,14,4/15,25.14,8.62,25.07,1,0
14,Kuldeep Yadav,17,16,62.2,424,14,3/30,30.29,8.47,26.71,1,0
15,Arshdeep Singh,17,17,57.0,328,13,4/34,25.23,7.95,26.31,2,0
16,Wanindu Hasaranga,14,14,52.4,352,12,5/14,29.33,8.0,26.33,0,1
17,Piyush Chawla,15,14,55.5,493,12,4/24,41.08,8.17,27.92,0,1
18,Ravi Bishnoi,16,15,58.3,365,12,3/26,30.42,8.67,29.25,1,0
19,Axar Patel,16,16,58.5,463,12,5/28,38.58,8.69,29.42,0,0
20,Ravindra Jadeja,15,14,47.3,357,11,5/19,32.45,9.16,25.91,0,0
21,Bhuvneshwar Kumar,17,16,64.4,383,11,4/31,34.82,8.17,35.27,0,0
