season,match_number,date,venue,team1,team2,winner,result_type,youtube_url,video_verified
2008,1,2008-04-18,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,complete,https://www.youtube.com/watch?v=qGyYurn7dHY,true
2008,2,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,complete,,false
2008,3,2008-04-19,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,complete,,false
2008,4,2008-04-20,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,complete,,false
2008,5,2008-04-20,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,complete,,false
2008,6,2008-04-21,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,complete,https://www.youtube.com/watch?v=8YiRxvfbLNE,true
2008,7,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Daredevils,Delhi Daredevils,complete,,false
2008,8,2008-04-23,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,complete,,false
2008,9,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,complete,,false
2008,10,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Kings XI Punjab,complete,,false
2008,11,2008-04-26,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,complete,,false
2008,12,2008-04-26,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,complete,,false
2008,13,2008-04-27,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,complete,,false
2008,14,2008-04-27,Dr DY Patil Sports Academy,Mumbai Indians,Deccan Chargers,Deccan Chargers,complete,,false
2008,15,2008-04-28,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,complete,,false
2008,16,2008-04-29,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,complete,,false
2008,17,2008-04-30,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,complete,,false
2008,18,2008-05-01,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,complete,,false
2008,19,2008-05-01,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kings XI Punjab,Kings XI Punjab,complete,,false
2008,20,2008-05-02,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,complete,,false
2008,21,2008-05-03,M Chinnaswamy Stadium,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,complete,,false
2008,22,2008-05-03,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,complete,,false
2008,23,2008-05-04,Dr DY Patil Sports Academy,Mumbai Indians,Delhi Daredevils,Mumbai Indians,complete,,false
2008,24,2008-05-04,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,complete,,false
