Stadium Name,City,Matches Hosted
Wankhede Stadium,Mumbai,132
Eden Gardens,Kolkata,107
M. Chinnaswamy Stadium,Bengaluru,104
Arun Jaitley Stadium,Delhi,104
MA Chidambaram Stadium,Chennai,98
Rajiv Gandhi International Stadium,Hyderabad,90
Sawai Mansingh Stadium,Jaipur,68
Punjab Cricket Association IS Bindra Stadium,Chandigarh,61
Narendra Modi Stadium,Ahmedabad,53
Dubai International Cricket Stadium,Dubai,46
Dr DY Patil Sports Academy,Navi Mumbai,37
Maharashtra Cricket Association Stadium,Pune,35
Sheikh Zayed Cricket Stadium,Abu Dhabi,29
BRSABV Ekana Cricket Stadium,Lucknow,29
Sharjah Cricket Stadium,Sharjah,28
Brabourne Stadium,Mumbai,27
Himachal Pradesh Cricket Association Stadium,Dharamsala,19
Maharaja Yadavindra Singh Stadium,Mohali,17
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,17
Subrata Roy Sahara Stadium,Pune,16
Kingsmead,Durban,15
SuperSport Park,Centurion,12
Saurashtra Cricket Association Stadium,Rajkot,10
Holkar Cricket Stadium,Indore,9
Zayed Cricket Stadium,Abu Dhabi,8
Wanderers Stadium,Johannesburg,8
Shaheed Veer Narayan Singh Stadium,Raipur,8
Barsapara Cricket Stadium,Guwahati,8
St George's Park,Port Elizabeth,7
Newlands,Cape Town,7
JSCA International Stadium Complex,Ranchi,7
Barabati Stadium,Cuttack,7
Nehru Stadium,Kochi,5
Green Park,Kanpur,4
Vidarbha Cricket Association Stadium,Nagpur,3
De Beers Diamond Oval,Kimberley,3
Buffalo Park,East London,3
OUTsurance Oval,Bloemfontein,2
