batter,bowler,balls,runs,dismissals,matches,sr
A Ashish Reddy,A Nehra,16,14,2,3,87.5
A Ashish Reddy,AB Dinda,14,18,0,3,128.57
A Ashish Reddy,AD Mathews,24,50,0,3,208.33
A Ashish Reddy,AD Russell,6,8,0,2,133.33
A Ashish Reddy,Azhar Mahmood,6,4,0,2,66.67
A Ashish Reddy,CH Morris,10,22,0,3,220.0
A Ashish Reddy,DJ Bravo,26,48,2,4,184.62
A Ashish Reddy,Harbhajan Singh,16,22,0,2,137.5
A Ashish Reddy,JEC Franklin,6,6,0,2,100.0
A Ashish Reddy,KA Pollard,6,6,2,2,100.0
A Ashish Reddy,KK Cooper,10,16,0,2,160.0
A Ashish Reddy,M Kartik,16,12,0,2,75.0
A Ashish Reddy,M Morkel,10,10,2,3,100.0
A Ashish Reddy,MG Johnson,6,14,0,2,233.33
A Ashish Reddy,MR Marsh,6,6,0,2,100.0
A Ashish Reddy,MS Gony,8,10,0,2,125.0
A Ashish Reddy,P Kumar,8,12,0,2,150.0
A Ashish Reddy,PV Tambe,8,6,0,2,75.0
A Ashish Reddy,Parvez Rasool,18,36,0,2,200.0
A Ashish Reddy,R Vinay Kumar,20,28,4,4,140.0
A Ashish Reddy,RJ Peterson,10,14,0,2,140.0
A Ashish Reddy,SL Malinga,8,6,0,2,75.0
A Ashish Reddy,SMSM Senanayake,8,6,2,2,75.0
A Ashish Reddy,SR Watson,10,6,2,3,60.0
A Ashish Reddy,STR Binny,8,8,2,2,100.0
A Ashish Reddy,SW Tait,8,20,0,2,250.0
A Ashish Reddy,Sandeep Sharma,6,26,0,2,433.33
A Ashish Reddy,TG Southee,8,18,0,2,225.0
A Ashish Reddy,UT Yadav,18,40,0,3,222.22
A Ashish Reddy,YS Chahal,14,26,0,2,185.71
A Badoni,A Zampa,6,4,2,2,66.67
A Badoni,AD Russell,26,44,0,3,169.23
A Badoni,AR Patel,22,22,0,4,100.0
A Badoni,AS Joseph,8,10,0,2,125.0
A Badoni,AS Roy,22,44,2,3,200.0
A Badoni,Akash Madhwal,8,0,2,2,0.0
A Badoni,Arshdeep Singh,38,42,2,6,110.53
A Badoni,Azmatullah Omarzai,42,90,0,3,214.29
A Badoni,B Kumar,8,8,0,3,100.0
A Badoni,C Bosch,12,12,0,2,100.0
A Badoni,C Sakariya,8,26,2,2,325.0
A Badoni,CV Varun,38,40,2,4,105.26
A Badoni,DJ Bravo,8,10,0,2,125.0
A Badoni,DJ Willey,8,12,0,2,150.0
A Badoni,DL Chahar,20,54,0,4,270.0
A Badoni,G Coetzee,10,10,0,2,100.0
A Badoni,GJ Maxwell,12,10,0,4,83.33
A Badoni,Gurnoor Brar,8,22,0,2,275.0
A Badoni,HH Pandya,28,40,0,5,142.86
A Badoni,HV Patel,18,22,0,4,122.22
A Badoni,Harpreet Brar,6,4,0,2,66.67
A Badoni,Harshit Rana,14,14,0,2,100.0
A Badoni,I Sharma,18,20,0,3,111.11
A Badoni,J Overton,10,26,0,2,260.0
A Badoni,JD Unadkat,12,8,0,3,66.67
A Badoni,JJ Bumrah,10,6,0,2,60.0
A Badoni,JR Hazlewood,22,14,4,4,63.64
A Badoni,K Rabada,16,16,2,3,100.0
A Badoni,KH Pandya,16,24,0,2,150.0
A Badoni,KK Ahmed,10,24,0,3,240.0
A Badoni,KV Sharma,24,56,0,3,233.33
A Badoni,Kartik Tyagi,20,36,0,3,180.0
A Badoni,Kuldeep Yadav,28,26,2,5,92.86
A Badoni,LH Ferguson,28,46,0,3,164.29
A Badoni,M Jansen,48,88,0,5,183.33
A Badoni,M Pathirana,22,20,0,3,90.91
A Badoni,M Prasidh Krishna,16,6,2,3,37.5
A Badoni,M Theekshana,36,70,0,3,194.44
A Badoni,MA Starc,12,14,0,4,116.67
A Badoni,MJ Santner,16,30,0,2,187.5
A Badoni,MM Ali,14,12,0,3,85.71
A Badoni,MM Sharma,24,46,2,4,191.67
A Badoni,MP Stoinis,14,8,0,3,57.14
A Badoni,Mohammed Shami,22,32,0,4,145.45
A Badoni,Mohammed Siraj,42,42,0,6,100.0
A Badoni,Mukesh Choudhary,6,14,0,2,233.33
A Badoni,Mukesh Kumar,48,86,2,4,179.17
A Badoni,N Thushara,6,8,0,2,133.33
A Badoni,Navdeep Saini,12,30,0,2,250.0
A Badoni,Noor Ahmad,12,14,0,4,116.67
A Badoni,PJ Cummins,14,20,0,4,142.86
A Badoni,PP Chawla,8,4,0,3,50.0
A Badoni,PVD Chameera,8,16,0,2,200.0
A Badoni,PWH de Silva,26,28,0,3,107.69
A Badoni,R Ashwin,16,22,0,3,137.5
A Badoni,R Sai Kishore,8,22,2,3,275.0
A Badoni,R Shepherd,28,58,0,3,207.14
A Badoni,RA Jadeja,20,18,2,4,90.0
A Badoni,RD Chahar,18,24,0,2,133.33
A Badoni,RP Meredith,8,18,2,2,225.0
A Badoni,RS Hangargekar,6,10,0,2,166.67
A Badoni,Rashid Khan,60,62,2,6,103.33
A Badoni,Rasikh Salam,6,10,2,2,166.67
A Badoni,SM Curran,28,36,2,4,128.57
A Badoni,SN Thakur,6,20,0,2,333.33
A Badoni,SP Narine,96,84,6,7,87.5
A Badoni,Sandeep Sharma,24,42,0,3,175.0
A Badoni,Shivang Kumar,10,12,0,2,120.0
A Badoni,Suyash Sharma,24,36,0,3,150.0
A Badoni,T Natarajan,40,76,2,4,190.0
A Badoni,T Stubbs,6,4,2,2,66.67
A Badoni,TA Boult,26,14,6,6,53.85
A Badoni,TG Southee,12,6,0,2,50.0
A Badoni,TU Deshpande,38,46,4,3,121.05
A Badoni,V Puthur,8,10,0,2,125.0
A Badoni,VG Arora,10,18,0,3,180.0
A Badoni,VR Aaron,6,4,2,2,66.67
A Badoni,Vijaykumar Vyshak,36,86,2,3,238.89
A Badoni,WD Parnell,10,14,2,2,140.0
A Badoni,WG Jacks,6,6,0,2,100.0
A Badoni,Washington Sundar,14,18,0,3,128.57
A Badoni,XC Bartlett,10,24,0,2,240.0
A Badoni,YS Chahal,38,36,6,5,94.74
A Chopra,DP Vijaykumar,10,2,0,2,20.0
A Chopra,DW Steyn,8,2,2,2,25.0
A Chopra,GD McGrath,8,4,0,2,50.0
A Chopra,Harmeet Singh,14,8,0,2,57.14
A Chopra,PJ Sangwan,18,12,2,2,66.67
A Chopra,PP Ojha,12,6,2,2,50.0
A Chopra,RP Singh,10,18,0,2,180.0
A Chopra,SB Bangar,8,18,0,2,225.0
A Chopra,SB Styris,14,10,0,3,71.43
A Chopra,SM Pollock,8,2,0,2,25.0
A Chopra,VY Mahesh,8,10,0,2,125.0
A Chopra,Y Venugopal Rao,12,6,0,2,50.0
A Choudhary,AJ Tye,6,4,0,2,66.67
A Choudhary,Basil Thampi,8,16,0,2,200.0
A Choudhary,JP Faulkner,10,10,0,2,100.0
A Choudhary,MM Sharma,8,4,2,2,50.0
A Dananjaya,Mohammed Shami,6,4,0,2,66.67
A Flintoff,A Nehra,8,6,2,2,75.0
A Flintoff,DJ Bravo,12,26,0,2,216.67
A Flintoff,DL Vettori,12,8,0,2,66.67
A Flintoff,DW Steyn,14,28,0,2,200.0
A Flintoff,Harbhajan Singh,10,4,2,2,40.0
A Flintoff,KP Pietersen,8,12,0,2,150.0
A Flintoff,MK Tiwary,6,6,0,2,100.0
A Flintoff,PJ Sangwan,6,12,0,2,200.0
A Flintoff,SL Malinga,6,0,0,2,0.0
A Flintoff,ST Jayasuriya,8,14,0,2,175.0
A Flintoff,Z Khan,8,2,0,2,25.0
A Kamboj,Akash Madhwal,6,10,0,2,166.67
A Kamboj,B Kumar,8,8,0,2,100.0
A Kamboj,HV Patel,6,4,0,2,66.67
A Kamboj,JA Duffy,10,24,0,2,240.0
A Kamboj,M Prasidh Krishna,8,24,0,2,300.0
A Kamboj,N Burger,8,10,0,2,125.0
A Kamboj,Nithish Kumar Reddy,6,18,0,2,300.0
A Kamboj,PP Hinge,6,4,0,2,66.67
A Kamboj,Rashid Khan,8,14,2,2,175.0
A Kamboj,Ravi Bishnoi,6,0,0,2,0.0
A Kamboj,Sandeep Sharma,6,4,0,2,66.67
A Kamboj,VG Arora,6,6,0,2,100.0
A Kumble,DJ Bravo,6,10,0,2,166.67
A Kumble,IK Pathan,12,12,0,4,100.0
A Kumble,M Muralitharan,6,0,0,2,0.0
A Kumble,PP Chawla,8,2,0,2,25.0
A Kumble,R McLaren,6,2,0,2,33.33
A Kumble,RA Jadeja,6,4,0,2,66.67
A Kumble,SK Warne,6,10,0,2,166.67
A Kumble,VRV Singh,6,4,0,2,66.67
A Manohar,A Mishra,6,2,2,2,33.33
A Manohar,A Zampa,8,14,2,2,175.0
A Manohar,AR Patel,24,24,0,2,100.0
A Manohar,Avesh Khan,8,20,0,2,250.0
A Manohar,B Kumar,22,32,2,3,145.45
A Manohar,C Green,6,26,0,2,433.33
A Manohar,HH Pandya,14,26,0,2,185.71
A Manohar,I Sharma,6,4,0,2,66.67
A Manohar,JDS Neesham,14,20,0,2,142.86
A Manohar,JJ Bumrah,24,32,0,2,133.33
A Manohar,JP Behrendorff,8,8,0,2,100.0
A Manohar,K Kartikeya,6,2,2,3,33.33
A Manohar,KK Ahmed,20,4,2,3,20.0
A Manohar,KR Sen,6,10,2,3,166.67
A Manohar,Kuldeep Yadav,38,26,2,4,68.42
A Manohar,M Jansen,12,14,0,2,116.67
A Manohar,M Theekshana,12,6,2,2,50.0
A Manohar,MJ Santner,24,10,0,2,41.67
A Manohar,Mukesh Choudhary,12,18,0,2,150.0
A Manohar,Mukesh Kumar,6,4,0,2,66.67
A Manohar,PP Chawla,20,38,0,3,190.0
A Manohar,PVD Chameera,6,10,0,2,166.67
A Manohar,R Ashwin,16,14,0,2,87.5
A Manohar,R Shepherd,12,8,2,2,66.67
A Manohar,RP Meredith,8,14,2,2,175.0
A Manohar,T Natarajan,8,22,0,2,275.0
A Manohar,T Stubbs,6,8,2,2,133.33
A Manohar,TA Boult,22,50,2,3,227.27
A Manohar,UT Yadav,10,26,0,2,260.0
A Manohar,Umran Malik,12,18,2,3,150.0
A Manohar,YS Chahal,24,46,2,3,191.67
A Mhatre,AR Patel,18,26,0,2,144.44
A Mhatre,AS Roy,12,12,0,2,100.0
A Mhatre,Arshad Khan,12,56,0,2,466.67
A Mhatre,Arshdeep Singh,14,16,0,3,114.29
A Mhatre,Ashwani Kumar,8,34,0,2,425.0
A Mhatre,B Kumar,28,76,2,3,271.43
