player,matches_batted,total_runs,total_balls,total_fours,total_sixes,fifties,hundreds,ducks,not_outs,dismissed,highest_score,seasons_active_bat,first_season_bat,last_season_bat,batting_avg,strike_rate,matches_bowled,total_wickets,total_runs_given,total_balls_bowled,best_wickets,seasons_active_bowl,first_season_bowl,last_season_bowl,economy,bowling_avg,total_matches
A Ashish Reddy,23.0,280.0,193.0,16.0,15.0,0.0,0.0,0.0,8.0,15.0,36.0,4.0,2012.0,2016.0,18.67,145.08,20.0,18.0,400.0,262.0,3.0,4.0,2012.0,2016.0,9.16,22.22,23
A Badoni,56.0,1178.0,836.0,96.0,47.0,7.0,0.0,5.0,11.0,45.0,74.0,5.0,2022.0,2026.0,26.18,140.91,8.0,4.0,64.0,41.0,2.0,5.0,2022.0,2026.0,9.37,16.0,56
A Chandila,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,2012.0,2013.0,4.0,57.14,12.0,11.0,245.0,234.0,4.0,2.0,2012.0,2013.0,6.28,22.27,12
A Chopra,6.0,53.0,71.0,7.0,0.0,0.0,0.0,0.0,1.0,5.0,24.0,2.0,2008.0,2009.0,10.6,74.65,,,,,,,,,,,6
A Choudhary,3.0,25.0,20.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,15.0,1.0,2017.0,2017.0,25.0,125.0,5.0,5.0,144.0,101.0,2.0,1.0,2017.0,2017.0,8.55,28.8,5
A Dananjaya,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,2018.0,2018.0,4.0,80.0,1.0,0.0,47.0,24.0,0.0,1.0,2018.0,2018.0,11.75,999.0,1
A Flintoff,3.0,62.0,53.0,5.0,2.0,0.0,0.0,0.0,1.0,2.0,24.0,1.0,2009.0,2009.0,31.0,116.98,3.0,2.0,106.0,66.0,1.0,1.0,2009.0,2009.0,9.64,53.0,3
A Kamboj,10.0,74.0,52.0,5.0,4.0,0.0,0.0,1.0,7.0,3.0,19.0,3.0,2024.0,2026.0,24.67,142.31,25.0,31.0,823.0,491.0,3.0,3.0,2024.0,2026.0,10.06,26.55,25
A Kumble,15.0,35.0,47.0,3.0,0.0,0.0,0.0,0.0,13.0,2.0,8.0,3.0,2008.0,2010.0,17.5,74.47,42.0,45.0,1089.0,965.0,5.0,3.0,2008.0,2010.0,6.77,24.2,42
A Manohar,20.0,292.0,235.0,23.0,14.0,0.0,0.0,2.0,1.0,19.0,43.0,4.0,2022.0,2025.0,15.37,124.26,,,,,,,,,,,20
A Mhatre,13.0,441.0,240.0,51.0,23.0,3.0,0.0,2.0,1.0,12.0,94.0,2.0,2025.0,2026.0,36.75,183.75,,,,,,,,,,,13
A Mishra,55.0,381.0,419.0,31.0,5.0,0.0,0.0,7.0,27.0,28.0,31.0,13.0,2008.0,2023.0,13.61,90.93,162.0,174.0,4193.0,3371.0,5.0,16.0,2008.0,2024.0,7.46,24.1,162
A Mithun,6.0,34.0,26.0,4.0,1.0,0.0,0.0,1.0,1.0,5.0,11.0,3.0,2010.0,2013.0,6.8,130.77,16.0,7.0,477.0,288.0,2.0,5.0,2009.0,2013.0,9.94,68.14,16
A Mukund,2.0,19.0,22.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,19.0,2.0,2008.0,2013.0,9.5,86.36,,,,,,,,,,,2
A Nehra,17.0,41.0,62.0,3.0,1.0,0.0,0.0,4.0,11.0,6.0,22.0,7.0,2008.0,2016.0,6.83,66.13,88.0,106.0,2537.0,1908.0,4.0,9.0,2008.0,2017.0,7.98,23.93,88
A Nel,,,,,,,,,,,,,,,,,1.0,1.0,31.0,18.0,1.0,1.0,2008.0,2008.0,10.33,31.0,1
A Nortje,14.0,49.0,50.0,6.0,0.0,0.0,0.0,3.0,8.0,6.0,23.0,5.0,2020.0,2026.0,8.17,98.0,49.0,61.0,1740.0,1120.0,3.0,7.0,2020.0,2026.0,9.32,28.52,49
A Raghuvanshi,30.0,885.0,608.0,86.0,35.0,7.0,0.0,0.0,6.0,24.0,82.0,3.0,2024.0,2026.0,36.88,145.56,,,,,,,,,,,30
A Singh,5.0,2.0,10.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,3.0,2009.0,2012.0,0.5,20.0,23.0,28.0,639.0,473.0,4.0,3.0,2009.0,2012.0,8.11,22.82,23
A Symonds,36.0,974.0,750.0,74.0,41.0,5.0,1.0,0.0,12.0,24.0,117.0,4.0,2008.0,2011.0,40.58,129.87,30.0,20.0,694.0,527.0,3.0,4.0,2008.0,2011.0,7.9,34.7,36
A Tomar,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,2022.0,2022.0,4.0,50.0,,,,,,,,,,,1
A Uniyal,2.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,2010.0,2010.0,4.0,57.14,2.0,2.0,67.0,36.0,2.0,1.0,2010.0,2010.0,11.17,33.5,2
A Zampa,5.0,15.0,24.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,7.0,3.0,2016.0,2023.0,3.0,62.5,22.0,31.0,656.0,467.0,6.0,5.0,2016.0,2025.0,8.43,21.16,22
AA Bilakhia,7.0,69.0,85.0,5.0,0.0,0.0,0.0,0.0,2.0,5.0,22.0,2.0,2009.0,2010.0,13.8,81.18,,,,,,,,,,,7
AA Chavan,3.0,12.0,11.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,2.0,2011.0,2012.0,12.0,109.09,13.0,8.0,339.0,248.0,2.0,3.0,2011.0,2013.0,8.2,42.38,13
AA Jhunjhunwala,15.0,217.0,210.0,19.0,5.0,1.0,0.0,1.0,3.0,12.0,53.0,3.0,2010.0,2012.0,18.08,103.33,10.0,1.0,130.0,85.0,1.0,3.0,2010.0,2012.0,9.18,130.0,15
AA Kazi,,,,,,,,,,,,,,,,,1.0,0.0,21.0,12.0,0.0,1.0,2011.0,2011.0,10.5,999.0,1
AA Kulkarni,4.0,26.0,33.0,3.0,0.0,0.0,0.0,2.0,0.0,4.0,17.0,2.0,2024.0,2026.0,6.5,78.79,,,,,,,,,,,4
AA Noffke,1.0,9.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,2008.0,2008.0,9.0,90.0,1.0,1.0,41.0,24.0,1.0,1.0,2008.0,2008.0,10.25,41.0,1
