player,matches_played,seasons,first_year,last_year
V Kohli,276,19,2008.0,2026.0
RG Sharma,275,19,2008.0,2026.0
RA Jadeja,259,18,2008.0,2026.0
MS Dhoni,241,18,2008.0,2025.0
KD Karthik,233,17,2008.0,2024.0
S Dhawan,221,17,2008.0,2024.0
R Ashwin,217,16,2009.0,2025.0
B Kumar,206,16,2011.0,2026.0
SP Narine,201,15,2012.0,2026.0
SK Raina,200,13,2008.0,2021.0
RV Uthappa,197,15,2008.0,2022.0
AM Rahane,197,18,2008.0,2026.0
PP Chawla,192,16,2008.0,2024.0
AT Rayudu,185,14,2010.0,2023.0
SV Samson,185,14,2013.0,2026.0
DA Warner,184,15,2009.0,2024.0
YS Chahal,184,14,2013.0,2026.0
KA Pollard,179,13,2010.0,2022.0
AR Patel,177,13,2014.0,2026.0
AB de Villiers,170,14,2008.0,2021.0
SA Yadav,165,14,2012.0,2026.0
MK Pandey,163,19,2008.0,2026.0
Harbhajan Singh,163,13,2008.0,2021.0
A Mishra,162,16,2008.0,2024.0
YK Pathan,161,12,2008.0,2019.0
DJ Bravo,160,14,2008.0,2022.0
HH Pandya,159,12,2015.0,2026.0
KH Pandya,158,11,2016.0,2026.0
JJ Bumrah,158,13,2013.0,2026.0
Rashid Khan,153,10,2017.0,2026.0
G Gambhir,151,11,2008.0,2018.0
KL Rahul,149,13,2013.0,2026.0
F du Plessis,147,13,2012.0,2025.0
UT Yadav,147,14,2010.0,2024.0
SR Watson,145,12,2008.0,2020.0
SS Iyer,144,11,2015.0,2026.0
DA Miller,143,14,2012.0,2026.0
WP Saha,143,17,2008.0,2024.0
Sandeep Sharma,142,14,2013.0,2026.0
CH Gayle,141,13,2009.0,2021.0
GJ Maxwell,140,13,2012.0,2025.0
RR Pant,136,10,2016.0,2026.0
PA Patel,136,12,2008.0,2019.0
JC Buttler,136,11,2016.0,2026.0
AD Russell,134,13,2012.0,2025.0
Mohammed Shami,132,12,2013.0,2026.0
Shubman Gill,130,9,2018.0,2026.0
Yuvraj Singh,129,11,2008.0,2019.0
Ishan Kishan,127,11,2016.0,2026.0
MA Agarwal,125,15,2011.0,2025.0
Mohammed Siraj,125,10,2017.0,2026.0
TA Boult,124,12,2015.0,2026.0
N Rana,123,11,2016.0,2026.0
HV Patel,122,14,2012.0,2026.0
SL Malinga,122,9,2009.0,2019.0
MM Sharma,120,11,2013.0,2025.0
P Kumar,119,10,2008.0,2017.0
Q de Kock,118,13,2013.0,2026.0
MP Stoinis,118,11,2016.0,2026.0
I Sharma,117,15,2008.0,2025.0
JD Unadkat,115,17,2010.0,2026.0
SN Thakur,111,11,2015.0,2026.0
