player,year,matches,runs,balls,fours,sixes,fifties,hundreds,highest,dismissed,not_outs,avg,sr
A Ashish Reddy,2012.0,5,35,29,3,1,0,0,10,4,1,8.75,120.69
A Ashish Reddy,2013.0,10,125,89,8,5,0,0,36,6,4,20.83,140.45
A Ashish Reddy,2015.0,5,73,46,3,5,0,0,22,3,2,24.33,158.7
A Ashish Reddy,2016.0,3,47,29,2,4,0,0,32,2,1,23.5,162.07
A Badoni,2022.0,11,161,130,11,7,1,0,54,8,3,20.12,123.85
A Badoni,2023.0,12,238,172,13,12,1,0,59,9,3,26.44,138.37
A Badoni,2024.0,12,235,171,22,5,2,0,55,8,4,29.38,137.43
A Badoni,2025.0,11,329,222,27,14,2,0,74,10,1,32.9,148.2
A Badoni,2026.0,10,215,141,23,9,1,0,54,10,0,21.5,152.48
A Chandila,2012.0,1,0,1,0,0,0,0,0,0,1,0.0,0.0
A Chandila,2013.0,1,4,6,0,0,0,0,4,0,1,4.0,66.67
A Chopra,2008.0,5,42,52,5,0,0,0,24,4,1,10.5,80.77
A Chopra,2009.0,1,11,19,2,0,0,0,11,1,0,11.0,57.89
A Choudhary,2017.0,3,25,20,1,1,0,0,15,1,2,25.0,125.0
A Dananjaya,2018.0,1,4,5,0,0,0,0,4,0,1,4.0,80.0
A Flintoff,2009.0,3,62,53,5,2,0,0,24,2,1,31.0,116.98
A Kamboj,2024.0,1,2,2,0,0,0,0,2,0,1,2.0,100.0
A Kamboj,2025.0,5,14,12,2,0,0,0,5,2,3,7.0,116.67
A Kamboj,2026.0,4,58,38,3,4,0,0,19,1,3,58.0,152.63
A Kumble,2008.0,4,13,17,1,0,0,0,8,1,3,13.0,76.47
A Kumble,2009.0,6,16,19,2,0,0,0,7,1,5,16.0,84.21
A Kumble,2010.0,5,6,11,0,0,0,0,2,0,5,6.0,54.55
A Manohar,2022.0,7,108,75,14,3,0,0,43,6,1,18.0,144.0
A Manohar,2023.0,6,114,83,6,7,0,0,42,6,0,19.0,137.35
A Manohar,2024.0,2,9,16,1,0,0,0,8,2,0,4.5,56.25
A Manohar,2025.0,5,61,61,2,4,0,0,43,5,0,12.2,100.0
A Mhatre,2025.0,7,240,127,31,11,1,0,94,7,0,34.29,188.98
A Mhatre,2026.0,6,201,113,20,12,2,0,73,5,1,40.2,177.88
A Mishra,2008.0,3,37,42,3,0,0,0,31,3,0,12.33,88.1
A Mishra,2009.0,5,26,20,2,2,0,0,13,2,3,13.0,130.0
A Mishra,2010.0,7,39,51,1,0,0,0,12,4,3,9.75,76.47
A Mishra,2011.0,9,68,49,9,1,0,0,25,4,5,17.0,138.78
A Mishra,2012.0,5,16,20,1,0,0,0,8,3,2,5.33,80.0
A Mishra,2013.0,6,89,96,9,0,0,0,30,3,3,29.67,92.71
A Mishra,2014.0,2,4,7,0,0,0,0,4,1,1,4.0,57.14
A Mishra,2015.0,4,8,12,0,0,0,0,4,2,2,4.0,66.67
A Mishra,2016.0,2,4,14,0,0,0,0,3,2,0,2.0,28.57
A Mishra,2017.0,6,49,52,2,2,0,0,13,1,5,49.0,94.23
A Mishra,2018.0,1,1,2,0,0,0,0,1,0,1,1.0,50.0
A Mishra,2019.0,4,21,24,2,0,0,0,8,2,2,10.5,87.5
A Mishra,2023.0,1,19,30,2,0,0,0,19,1,0,19.0,63.33
A Mithun,2010.0,1,5,4,1,0,0,0,5,1,0,5.0,125.0
A Mithun,2011.0,4,27,20,3,1,0,0,11,3,1,9.0,135.0
A Mithun,2013.0,1,2,2,0,0,0,0,2,1,0,2.0,100.0
A Mukund,2008.0,1,0,1,0,0,0,0,0,1,0,0.0,0.0
A Mukund,2013.0,1,19,21,1,0,0,0,19,1,0,19.0,90.48
A Nehra,2008.0,3,3,13,0,0,0,0,2,0,3,3.0,23.08
A Nehra,2009.0,1,1,1,0,0,0,0,1,0,1,1.0,100.0
A Nehra,2010.0,2,23,20,2,1,0,0,22,1,1,23.0,115.0
A Nehra,2012.0,2,11,12,1,0,0,0,9,0,2,11.0,91.67
A Nehra,2013.0,4,1,8,0,0,0,0,1,4,0,0.25,12.5
A Nehra,2015.0,4,1,7,0,0,0,0,1,1,3,1.0,14.29
A Nehra,2016.0,1,1,1,0,0,0,0,1,0,1,1.0,100.0
A Nortje,2020.0,3,7,6,0,0,0,0,3,1,2,7.0,116.67
A Nortje,2022.0,1,1,6,0,0,0,0,1,0,1,1.0,16.67
A Nortje,2023.0,7,37,29,6,0,0,0,23,2,5,18.5,127.59
A Nortje,2024.0,2,4,8,0,0,0,0,4,2,0,2.0,50.0
A Nortje,2026.0,1,0,1,0,0,0,0,0,1,0,0.0,0.0
A Raghuvanshi,2024.0,7,163,105,16,8,1,0,54,7,0,23.29,155.24
A Raghuvanshi,2025.0,11,300,215,30,8,1,0,50,9,2,33.33,139.53
A Raghuvanshi,2026.0,12,422,288,40,19,5,0,82,8,4,52.75,146.53
A Singh,2009.0,2,1,3,0,0,0,0,1,1,1,1.0,33.33
A Singh,2011.0,2,1,4,0,0,0,0,1,2,0,0.5,25.0
A Singh,2012.0,1,0,3,0,0,0,0,0,1,0,0.0,0.0
A Symonds,2008.0,3,161,105,15,9,0,1,117,2,1,80.5,153.33
A Symonds,2009.0,8,249,166,15,11,1,0,60,7,1,35.57,150.0
A Symonds,2010.0,16,429,341,35,18,4,0,54,12,4,35.75,125.81
A Symonds,2011.0,9,135,138,9,3,0,0,44,3,6,45.0,97.83
A Tomar,2022.0,1,4,8,1,0,0,0,4,1,0,4.0,50.0
A Uniyal,2010.0,2,4,7,0,0,0,0,4,1,1,4.0,57.14
A Zampa,2016.0,1,0,1,0,0,0,0,0,1,0,0.0,0.0
A Zampa,2017.0,1,5,7,1,0,0,0,5,1,0,5.0,71.43
A Zampa,2023.0,3,10,16,0,0,0,0,7,3,0,3.33,62.5
AA Bilakhia,2009.0,6,67,81,5,0,0,0,22,4,2,16.75,82.72
AA Bilakhia,2010.0,1,2,4,0,0,0,0,2,1,0,2.0,50.0
AA Chavan,2011.0,1,1,3,0,0,0,0,1,0,1,1.0,33.33
AA Chavan,2012.0,2,11,8,2,0,0,0,7,1,1,11.0,137.5
AA Jhunjhunwala,2010.0,10,183,166,16,4,1,0,53,8,2,22.88,110.24
AA Jhunjhunwala,2011.0,2,10,18,2,0,0,0,10,2,0,5.0,55.56
AA Jhunjhunwala,2012.0,3,24,26,1,1,0,0,19,2,1,12.0,92.31
AA Kulkarni,2024.0,2,9,8,2,0,0,0,9,2,0,4.5,112.5
AA Kulkarni,2026.0,2,17,25,1,0,0,0,17,2,0,8.5,68.0
AA Noffke,2008.0,1,9,10,1,0,0,0,9,1,0,9.0,90.0
AB Agarkar,2008.0,6,54,46,5,2,0,0,20,4,2,13.5,117.39
AB Agarkar,2009.0,5,66,57,3,3,0,0,39,2,3,33.0,115.79
AB Agarkar,2010.0,4,40,29,4,0,0,0,17,1,3,40.0,137.93
AB Agarkar,2011.0,1,7,6,1,0,0,0,7,0,1,7.0,116.67
AB Agarkar,2013.0,2,12,16,0,0,0,0,9,1,1,12.0,75.0
AB Barath,2010.0,3,42,42,5,1,0,0,33,2,1,21.0,100.0
AB Dinda,2008.0,2,2,4,0,0,0,0,1,1,1,2.0,50.0
AB Dinda,2009.0,2,2,3,0,0,0,0,2,2,0,1.0,66.67
AB Dinda,2010.0,1,0,1,0,0,0,0,0,1,0,0.0,0.0
AB Dinda,2011.0,1,0,5,0,0,0,0,0,1,0,0.0,0.0
AB Dinda,2012.0,1,2,5,0,0,0,0,2,0,1,2.0,40.0
AB Dinda,2013.0,5,9,11,1,0,0,0,6,2,3,4.5,81.82
AB Dinda,2014.0,3,4,12,0,0,0,0,2,1,2,4.0,33.33
AB Dinda,2017.0,1,7,7,1,0,0,0,7,1,0,7.0,100.0
AB McDonald,2009.0,1,3,4,0,0,0,0,3,1,0,3.0,75.0
AB McDonald,2010.0,3,65,52,3,2,0,0,33,0,3,65.0,125.0
AB McDonald,2011.0,1,8,7,0,0,0,0,8,1,0,8.0,114.29
AB McDonald,2012.0,3,47,35,6,2,0,0,30,2,1,23.5,134.29
AB McDonald,2013.0,1,0,2,0,0,0,0,0,1,0,0.0,0.0
AB de Villiers,2008.0,6,95,98,5,1,0,0,26,4,2,23.75,96.94
AB de Villiers,2009.0,13,465,355,39,12,3,1,105,9,4,51.67,130.99
AB de Villiers,2010.0,7,111,119,7,0,0,0,45,5,2,22.2,93.28
AB de Villiers,2011.0,13,312,243,21,14,2,0,65,8,5,39.0,128.4
AB de Villiers,2012.0,13,319,198,26,15,3,0,64,8,5,39.88,161.11
AB de Villiers,2013.0,14,373,223,34,17,3,0,64,10,4,37.3,167.26
AB de Villiers,2014.0,13,395,249,26,24,3,0,89,11,2,35.91,158.63
AB de Villiers,2015.0,14,513,293,60,22,2,1,133,8,6,64.12,175.09
AB de Villiers,2016.0,16,687,407,57,37,6,1,129,13,3,52.85,168.8
AB de Villiers,2017.0,9,216,163,12,16,1,0,89,7,2,30.86,132.52
AB de Villiers,2018.0,11,480,275,39,30,6,0,90,9,2,53.33,174.55
AB de Villiers,2019.0,13,442,287,31,26,5,0,82,10,3,44.2,154.01
AB de Villiers,2020.0,14,460,290,34,23,5,0,73,10,4,46.0,158.62
AB de Villiers,2021.0,14,313,211,23,16,2,0,76,10,4,31.3,148.34
AC Blizzard,2011.0,6,120,87,21,2,1,0,51,6,0,20.0,137.93
AC Blizzard,2012.0,1,0,3,0,0,0,0,0,1,0,0.0,0.0
