player,year,matches,wickets,runs_given,balls_bowled,best,economy,avg
A Ashish Reddy,2012.0,9,11,238,163,3,8.76,21.64
A Ashish Reddy,2013.0,5,3,71,40,1,10.65,23.67
A Ashish Reddy,2015.0,4,3,51,36,1,8.5,17.0
A Ashish Reddy,2016.0,2,1,40,23,1,10.43,40.0
A Badoni,2022.0,2,2,12,12,1,6.0,6.0
A Badoni,2023.0,1,0,0,1,0,0.0,999.0
A Badoni,2024.0,2,0,25,12,0,12.5,999.0
A Badoni,2025.0,2,2,13,10,2,7.8,6.5
A Badoni,2026.0,1,0,14,6,0,14.0,999.0
A Chandila,2012.0,4,5,87,84,4,6.21,17.4
A Chandila,2013.0,8,6,158,150,2,6.32,26.33
A Choudhary,2017.0,5,5,144,101,2,8.55,28.8
A Dananjaya,2018.0,1,0,47,24,0,11.75,999.0
A Flintoff,2009.0,3,2,106,66,1,9.64,53.0
A Kamboj,2024.0,3,2,115,60,1,11.5,57.5
A Kamboj,2025.0,8,8,173,129,3,8.05,21.62
A Kamboj,2026.0,14,21,535,302,3,10.63,25.48
A Kumble,2008.0,10,7,314,230,3,8.19,44.86
A Kumble,2009.0,16,21,353,355,5,5.97,16.81
A Kumble,2010.0,16,17,422,380,4,6.66,24.82
A Mishra,2008.0,6,11,140,119,5,7.06,12.73
A Mishra,2009.0,11,14,300,253,3,7.11,21.43
A Mishra,2010.0,14,17,371,318,3,7.0,21.82
A Mishra,2011.0,14,19,369,320,4,6.92,19.42
A Mishra,2012.0,14,13,381,282,3,8.11,29.31
A Mishra,2013.0,17,21,395,372,4,6.37,18.81
A Mishra,2014.0,10,7,342,225,2,9.12,48.86
A Mishra,2015.0,12,9,312,241,2,7.77,34.67
A Mishra,2016.0,14,13,350,276,4,7.61,26.92
A Mishra,2017.0,14,10,345,233,3,8.88,34.5
A Mishra,2018.0,10,12,265,222,3,7.16,22.08
A Mishra,2019.0,11,11,271,240,3,6.78,24.64
A Mishra,2020.0,3,3,72,60,2,7.2,24.0
A Mishra,2021.0,4,6,109,84,4,7.79,18.17
A Mishra,2023.0,7,7,151,114,2,7.95,21.57
A Mishra,2024.0,1,1,20,12,1,10.0,20.0
A Mithun,2009.0,1,0,42,24,0,10.5,999.0
A Mithun,2010.0,1,1,39,18,1,13.0,39.0
A Mithun,2011.0,12,5,325,204,2,9.56,65.0
A Mithun,2012.0,1,0,34,18,0,11.33,999.0
A Mithun,2013.0,1,1,37,24,1,9.25,37.0
A Nehra,2008.0,14,12,357,269,3,7.96,29.75
A Nehra,2009.0,13,19,354,306,3,6.94,18.63
A Nehra,2010.0,4,6,102,84,3,7.29,17.0
A Nehra,2012.0,13,11,411,288,3,8.56,37.36
A Nehra,2013.0,10,11,319,216,2,8.86,29.0
A Nehra,2014.0,4,8,143,90,3,9.53,17.88
A Nehra,2015.0,16,22,453,372,4,7.31,20.59
A Nehra,2016.0,8,9,200,156,3,7.69,22.22
A Nehra,2017.0,6,8,198,127,3,9.35,24.75
A Nel,2008.0,1,1,31,18,1,10.33,31.0
A Nortje,2020.0,16,22,529,366,3,8.67,24.05
A Nortje,2021.0,8,12,198,182,2,6.53,16.5
A Nortje,2022.0,6,9,219,134,3,9.81,24.33
A Nortje,2023.0,10,10,370,240,2,9.25,37.0
A Nortje,2024.0,6,7,298,132,3,13.55,42.57
A Nortje,2025.0,2,1,87,42,1,12.43,87.0
A Nortje,2026.0,1,0,39,24,0,9.75,999.0
A Singh,2009.0,5,9,100,105,4,5.71,11.11
A Singh,2011.0,9,9,222,171,3,7.79,24.67
A Singh,2012.0,9,10,317,197,2,9.65,31.7
A Symonds,2008.0,3,0,106,41,0,15.51,999.0
A Symonds,2009.0,8,7,162,144,2,6.75,23.14
A Symonds,2010.0,16,12,385,318,3,7.26,32.08
A Symonds,2011.0,3,1,41,24,1,10.25,41.0
A Uniyal,2010.0,2,2,67,36,2,11.17,33.5
A Zampa,2016.0,5,12,117,102,6,6.88,9.75
A Zampa,2017.0,6,7,164,119,2,8.27,23.43
A Zampa,2020.0,3,2,92,66,1,8.36,46.0
A Zampa,2023.0,6,8,189,132,3,8.59,23.62
A Zampa,2025.0,2,2,94,48,1,11.75,47.0
AA Chavan,2011.0,2,0,31,30,0,6.2,999.0
AA Chavan,2012.0,8,7,245,164,2,8.96,35.0
AA Chavan,2013.0,3,1,63,54,1,7.0,63.0
AA Jhunjhunwala,2010.0,5,0,69,37,0,11.19,999.0
AA Jhunjhunwala,2011.0,2,0,22,12,0,11.0,999.0
AA Jhunjhunwala,2012.0,3,1,39,36,1,6.5,39.0
AA Kazi,2011.0,1,0,21,12,0,10.5,999.0
AA Noffke,2008.0,1,1,41,24,1,10.25,41.0
AB Agarkar,2008.0,9,8,211,156,3,8.12,26.38
AB Agarkar,2009.0,11,6,293,186,2,9.45,48.83
AB Agarkar,2010.0,7,4,207,132,2,9.41,51.75
AB Agarkar,2011.0,7,8,236,162,2,8.74,29.5
AB Agarkar,2012.0,4,3,134,86,2,9.35,44.67
AB Agarkar,2013.0,4,0,93,60,0,9.3,999.0
AB Dinda,2008.0,12,9,266,234,3,6.82,29.56
AB Dinda,2009.0,8,4,195,144,1,8.12,48.75
AB Dinda,2010.0,7,9,155,139,2,6.69,17.22
AB Dinda,2011.0,5,5,159,102,2,9.35,31.8
AB Dinda,2012.0,7,9,171,144,4,7.12,19.0
AB Dinda,2013.0,13,16,466,294,3,9.51,29.12
AB Dinda,2014.0,9,5,271,186,1,8.74,54.2
AB Dinda,2015.0,2,0,63,30,0,12.6,999.0
AB Dinda,2016.0,9,11,236,183,3,7.74,21.45
AB Dinda,2017.0,3,1,121,60,1,12.1,121.0
AB McDonald,2009.0,1,0,22,18,0,7.33,999.0
AB McDonald,2010.0,4,5,138,84,2,9.86,27.6
AB McDonald,2011.0,1,0,23,12,0,11.5,999.0
AB McDonald,2012.0,3,5,63,60,2,6.3,12.6
AB McDonald,2013.0,1,1,17,12,1,8.5,17.0
AC Gilchrist,2013.0,1,1,0,1,1,0.0,0.0
AC Thomas,2011.0,11,11,300,231,2,7.79,27.27
AC Thomas,2012.0,4,3,116,84,3,8.29,38.67
AC Voges,2010.0,7,0,76,54,0,8.44,999.0
AD Mascarenhas,2008.0,1,2,31,24,2,7.75,15.5
AD Mascarenhas,2009.0,5,6,133,116,3,6.88,22.17
AD Mascarenhas,2010.0,2,4,66,48,2,8.25,16.5
AD Mascarenhas,2012.0,4,7,110,96,5,6.88,15.71
AD Mascarenhas,2013.0,1,0,25,24,0,6.25,999.0
AD Mathews,2009.0,1,0,32,14,0,13.71,999.0
AD Mathews,2010.0,12,8,317,225,4,8.45,39.62
AD Mathews,2012.0,9,7,195,156,2,7.5,27.86
AD Mathews,2013.0,10,5,245,186,3,7.9,49.0
AD Mathews,2015.0,10,7,249,180,2,8.3,35.57
AD Mathews,2017.0,2,0,57,30,0,11.4,999.0
