match_id,season,date,team1,team2,venue,city,winner
419111,2010,2010-03-15,Rajasthan Royals,Delhi Capitals,"Sardar Patel Stadium,Motera",Ahmedabad,Delhi Capitals
419118,2010,2010-03-20,Rajasthan Royals,Kolkata Knight Riders,"Sardar Patel Stadium,Motera",Ahmedabad,Rajasthan Royals
419126,2010,2010-03-26,Rajasthan Royals,Sunrisers Hyderabad,"Sardar Patel Stadium,Motera",Ahmedabad,Rajasthan Royals
419129,2010,2010-03-28,Rajasthan Royals,Chennai Super Kings,"Sardar Patel Stadium,Motera",Ahmedabad,Rajasthan Royals
733979,2014,2014-05-05,Rajasthan Royals,Kolkata Knight Riders,"Sardar Patel Stadium, Motera",Ahmedabad,Rajasthan Royals
733989,2014,2014-05-08,Rajasthan Royals,Sunrisers Hyderabad,"Sardar Patel Stadium, Motera",Ahmedabad,Sunrisers Hyderabad
734011,2014,2014-05-15,Rajasthan Royals,Delhi Daredevils,"Sardar Patel Stadium, Motera",Ahmedabad,Rajasthan Royals
734017,2014,2014-05-19,Rajasthan Royals,Mumbai Indians,"Sardar Patel Stadium, Motera",Ahmedabad,Mumbai Indians
829721,2015,2015-04-14,Rajasthan Royals,Mumbai Indians,"Sardar Patel Stadium, Motera",Ahmedabad,Rajasthan Royals
829735,2015,2015-04-19,Rajasthan Royals,Chennai Super Kings,"Sardar Patel Stadium, Motera",Ahmedabad,Rajasthan Royals
829741,2015,2015-04-21,Rajasthan Royals,Kings XI Punjab,"Sardar Patel Stadium, Motera",Ahmedabad,Kings XI Punjab
829749,2015,2015-04-24,Rajasthan Royals,Royal Challengers Bangalore,"Sardar Patel Stadium, Motera",Ahmedabad,Royal Challengers Bangalore
1254078,2021,2021-04-26,Punjab Kings,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Kolkata Knight Riders
1254079,2021,2021-04-27,Royal Challengers Bangalore,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Royal Challengers Bangalore
1254082,2021,2021-04-29,Kolkata Knight Riders,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Delhi Capitals
1254083,2021,2021-04-30,Punjab Kings,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Punjab Kings
1254086,2021,2021-05-02,Punjab Kings,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Delhi Capitals
1312199,2022,2022-05-27,Royal Challengers Bangalore,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Rajasthan Royals
